symbol,yfinance_ticker,company_name,as_of_date,data_bars,candidate_category,is_research_eligible,is_mechanically_qualified,composite_score,is_disqualified,disqualifying_flags,weekly_uptrend,dma_50_above_100,rsi_in_band,atr_contracting,vcp_bbw_contracting,min_liquidity_passed,close,rsi_14,dma_50,dma_100,wma_30,wma_40,atr_contraction_ratio,bb_width_20,avg_20_turnover_cr,vsa_volume_ratio,vsa_spread_ratio,vsa_close_position,is_stopping_volume,is_no_demand,is_no_supply,is_effort_vs_result,most_recent_event_type,most_recent_event_date,possible_LPS,possible_SOS,possible_Spring,is_UTAD_warning,total_events_detected,numeric_evidence,pf_target_price,pf_upside_pct,pf_count_columns,pf_is_stale_anchor,explanation_summary,tradingview_daily_url,tradingview_weekly_url,tradingview_75m_url,chart_review_status,dataset_snapshot_path,dataset_date
AARTIIND,AARTIIND.NS,Aarti Industries Limited,2026-08-21,901,HIGH_PRIORITY_CANDIDATE,True,True,80.0,False,None,True,True,True,True,False,True,527.2,61.7,491.4,477.33,,,0.98,0.164,,0.55,1.07,0.62,False,False,False,False,SOS,2026-08-13,False,True,False,False,132,"Bar vol_ratio=1.76x, spread_ratio=0.83x, close_pos=0.73. Candidate SOS: close=538.20 broke above range resistance=534.00 (+0.79%), strong close position=0.73 (threshold > 0.7), volume 1.76x avg (threshold >= 1.5x), spread 0.83x ATR",1025.95,94.6,36,False,"[HIGH_PRIORITY_CANDIDATE] Score: 80.0/100.0 | Mech Qual: PASS (Weekly WMA Up, Daily DMA(50/100) Up (491.4>477.3), RSI(14) Bullish (61.7), ATR Contraction (0.98<1.0)) | VSA: Vol Ratio: 0.55x, Close Pos: 0.62 | Candidate Event: SOS (Bar vol_ratio=1.76x, spread_ratio=0.83x, close_pos=0.73. Candidate SOS: close=538.20 broke above range resistance=534.00 (+0.79%), strong close position=0.73 (threshold > 0.7), volume 1.76x avg (threshold >= 1.5x), spread 0.83x ATR) | P&F Target: ₹1025.95 (+94.6% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
ADOR,ADOR.NS,Ador Welding Limited,2026-08-21,901,HIGH_PRIORITY_CANDIDATE,True,True,72.5,False,None,True,True,True,False,True,True,1617.6,64.3,1381.03,1205.65,,,1.07,0.164,,0.9,1.28,0.06,False,False,False,False,SOS,2026-08-20,False,True,False,False,125,"Bar vol_ratio=2.50x, spread_ratio=1.28x, close_pos=0.79. Candidate SOS: close=1684.00 broke above range resistance=1650.00 (+2.06%), strong close position=0.79 (threshold > 0.7), volume 2.50x avg (threshold >= 1.5x), spread 1.28x ATR",2123.0,31.2,20,False,"[HIGH_PRIORITY_CANDIDATE] Score: 72.5/100.0 | Mech Qual: PASS (Weekly WMA Up, Daily DMA(50/100) Up (1381.0>1205.7), RSI(14) Bullish (64.3), BBW Contraction) | VSA: Vol Ratio: 0.90x, Close Pos: 0.06 | Candidate Event: SOS (Bar vol_ratio=2.50x, spread_ratio=1.28x, close_pos=0.79. Candidate SOS: close=1684.00 broke above range resistance=1650.00 (+2.06%), strong close position=0.79 (threshold > 0.7), volume 2.50x avg (threshold >= 1.5x), spread 1.28x ATR) | P&F Target: ₹2123.00 (+31.2% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADOR&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADOR&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADOR&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
20MICRONS,20MICRONS.NS,20 Microns Limited,2026-08-21,900,HIGH_PRIORITY_CANDIDATE,True,True,72.5,False,None,False,True,True,True,True,True,204.19,60.9,196.91,186.39,,,0.72,0.132,,0.75,0.76,0.28,False,False,False,False,LPS,2026-08-18,True,False,False,False,118,"Bar vol_ratio=0.40x, spread_ratio=0.45x, close_pos=0.61. Candidate LPS: higher low=195.20 vs prior ST low=194.61 (+0.3%), holding above range support=176.91, low volume 0.40x avg (threshold < 0.75x), spread 0.45x ATR, close pos=0.61",329.16,61.2,44,False,"[HIGH_PRIORITY_CANDIDATE] Score: 72.5/100.0 | Mech Qual: PASS (Daily DMA(50/100) Up (196.9>186.4), RSI(14) Bullish (60.9), ATR Contraction (0.72<1.0), BBW Contraction) | VSA: Vol Ratio: 0.75x, Close Pos: 0.28 | Candidate Event: LPS (Bar vol_ratio=0.40x, spread_ratio=0.45x, close_pos=0.61. Candidate LPS: higher low=195.20 vs prior ST low=194.61 (+0.3%), holding above range support=176.91, low volume 0.40x avg (threshold < 0.75x), spread 0.45x ATR, close pos=0.61) | P&F Target: ₹329.16 (+61.2% upside)",https://www.tradingview.com/chart/?symbol=NSE%3A20MICRONS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3A20MICRONS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3A20MICRONS&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
ADFFOODS,ADFFOODS.NS,ADF Foods Limited,2026-08-21,901,HIGH_PRIORITY_CANDIDATE,True,True,62.5,False,None,True,False,False,True,True,True,267.6,43.2,292.01,271.66,,,0.63,0.217,,0.51,0.72,0.42,False,False,False,False,LPS,2026-08-11,True,False,False,False,111,"Bar vol_ratio=0.71x, spread_ratio=0.82x, close_pos=0.54. Candidate LPS: higher low=260.25 vs prior Spring low=255.85 (+1.7%), holding above range support=255.85, low volume 0.71x avg (threshold < 0.75x), spread 0.82x ATR, close pos=0.54",228.56,-14.6,17,True,"[HIGH_PRIORITY_CANDIDATE] Score: 62.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.63<1.0), BBW Contraction) | VSA: Vol Ratio: 0.51x, Close Pos: 0.42 | Candidate Event: LPS (Bar vol_ratio=0.71x, spread_ratio=0.82x, close_pos=0.54. Candidate LPS: higher low=260.25 vs prior Spring low=255.85 (+1.7%), holding above range support=255.85, low volume 0.71x avg (threshold < 0.75x), spread 0.82x ATR, close pos=0.54) | P&F Target: ₹228.56 (+-14.6% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADFFOODS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADFFOODS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADFFOODS&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
ADANIPOWER,ADANIPOWER.NS,Adani Power Limited,2026-08-21,901,HIGH_PRIORITY_CANDIDATE,True,True,62.5,False,None,True,False,False,True,True,True,205.5,40.8,216.59,215.65,,,0.75,0.056,,0.73,0.65,1.0,False,False,False,False,LPS,2026-08-14,True,False,False,False,118,"Bar vol_ratio=0.74x, spread_ratio=0.65x, close_pos=0.08. Candidate LPS: higher low=205.00 vs prior Spring low=204.11 (+0.4%), holding above range support=204.11, low volume 0.74x avg (threshold < 0.75x), spread 0.65x ATR, close pos=0.08",246.43,19.9,32,True,"[HIGH_PRIORITY_CANDIDATE] Score: 62.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.75<1.0), BBW Contraction) | VSA: Vol Ratio: 0.73x, Close Pos: 1.00 | Candidate Event: LPS (Bar vol_ratio=0.74x, spread_ratio=0.65x, close_pos=0.08. Candidate LPS: higher low=205.00 vs prior Spring low=204.11 (+0.4%), holding above range support=204.11, low volume 0.74x avg (threshold < 0.75x), spread 0.65x ATR, close pos=0.08) | P&F Target: ₹246.43 (+19.9% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADANIPOWER&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADANIPOWER&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADANIPOWER&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,2026-08-21,901,HIGH_PRIORITY_CANDIDATE,True,True,62.5,False,None,True,False,False,True,True,True,1700.0,44.5,1771.73,1725.64,,,0.75,0.069,,0.5,0.52,0.88,False,True,False,False,LPS,2026-08-17,True,False,False,False,109,"Bar vol_ratio=0.68x, spread_ratio=0.72x, close_pos=0.50. Candidate LPS: higher low=1678.10 vs prior Spring low=1640.40 (+2.3%), holding above range support=1640.40, low volume 0.68x avg (threshold < 0.75x), spread 0.72x ATR, close pos=0.50",2736.08,60.9,46,True,"[HIGH_PRIORITY_CANDIDATE] Score: 62.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.75<1.0), BBW Contraction) | VSA: Vol Ratio: 0.50x, Close Pos: 0.88, No Demand | Candidate Event: LPS (Bar vol_ratio=0.68x, spread_ratio=0.72x, close_pos=0.50. Candidate LPS: higher low=1678.10 vs prior Spring low=1640.40 (+2.3%), holding above range support=1640.40, low volume 0.68x avg (threshold < 0.75x), spread 0.72x ATR, close pos=0.50) | P&F Target: ₹2736.08 (+60.9% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADANIPORTS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADANIPORTS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADANIPORTS&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Limited,2026-08-21,901,HIGH_PRIORITY_CANDIDATE,True,True,62.5,False,None,True,False,False,True,True,True,1320.0,38.0,1449.58,1373.26,,,0.72,0.094,,0.76,0.44,0.67,False,True,False,False,LPS,2026-08-14,True,False,False,False,92,"Bar vol_ratio=0.48x, spread_ratio=0.77x, close_pos=1.00. Candidate LPS: higher low=1315.10 vs prior Spring low=1314.00 (+0.1%), holding above range support=1314.00, low volume 0.48x avg (threshold < 0.75x), spread 0.77x ATR, close pos=1.00",2880.8,118.2,31,True,"[HIGH_PRIORITY_CANDIDATE] Score: 62.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.72<1.0), BBW Contraction) | VSA: Vol Ratio: 0.76x, Close Pos: 0.67, No Demand | Candidate Event: LPS (Bar vol_ratio=0.48x, spread_ratio=0.77x, close_pos=1.00. Candidate LPS: higher low=1315.10 vs prior Spring low=1314.00 (+0.1%), holding above range support=1314.00, low volume 0.48x avg (threshold < 0.75x), spread 0.77x ATR, close pos=1.00) | P&F Target: ₹2880.80 (+118.2% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADANIGREEN&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADANIGREEN&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADANIGREEN&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
ACE,ACE.NS,Action Construction Equipment Limited,2026-08-21,901,HIGH_PRIORITY_CANDIDATE,True,True,62.5,False,None,True,True,True,False,True,True,1182.2,65.5,1037.33,964.11,,,1.13,0.149,,0.91,1.1,0.85,False,False,False,False,SOS,2026-08-18,False,True,False,False,91,"Bar vol_ratio=2.96x, spread_ratio=1.65x, close_pos=0.95. Candidate SOS: close=1184.80 broke above range resistance=1149.00 (+3.12%), strong close position=0.95 (threshold > 0.7), volume 2.96x avg (threshold >= 1.5x), spread 1.65x ATR",1353.5,14.5,20,True,"[HIGH_PRIORITY_CANDIDATE] Score: 62.5/100.0 | Mech Qual: PASS (Weekly WMA Up, Daily DMA(50/100) Up (1037.3>964.1), RSI(14) Bullish (65.5), BBW Contraction) | VSA: Vol Ratio: 0.91x, Close Pos: 0.85 | Candidate Event: SOS (Bar vol_ratio=2.96x, spread_ratio=1.65x, close_pos=0.95. Candidate SOS: close=1184.80 broke above range resistance=1149.00 (+3.12%), strong close position=0.95 (threshold > 0.7), volume 2.96x avg (threshold >= 1.5x), spread 1.65x ATR) | P&F Target: ₹1353.50 (+14.5% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AACE&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AACE&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AACE&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
AARTIPHARM,AARTIPHARM.NS,Aarti Pharmalabs Limited,2026-08-21,882,HIGH_PRIORITY_CANDIDATE,True,True,61.0,False,None,False,True,True,False,False,True,816.8,58.9,720.97,706.0,,,1.58,0.46,,0.4,0.81,0.34,False,False,False,False,SOS,2026-08-10,False,True,False,False,88,"Bar vol_ratio=10.74x, spread_ratio=2.20x, close_pos=1.00. Candidate SOS: close=823.00 broke above range resistance=743.60 (+10.68%), strong close position=1.00 (threshold > 0.7), volume 10.74x avg (threshold >= 1.5x), spread 2.20x ATR",922.65,13.0,47,False,"[HIGH_PRIORITY_CANDIDATE] Score: 61.0/100.0 | Mech Qual: PASS (Daily DMA(50/100) Up (721.0>706.0), RSI(14) Bullish (58.9)) | VSA: Vol Ratio: 0.40x, Close Pos: 0.34 | Candidate Event: SOS (Bar vol_ratio=10.74x, spread_ratio=2.20x, close_pos=1.00. Candidate SOS: close=823.00 broke above range resistance=743.60 (+10.68%), strong close position=1.00 (threshold > 0.7), volume 10.74x avg (threshold >= 1.5x), spread 2.20x ATR) | P&F Target: ₹922.65 (+13.0% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AAARTIPHARM&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIPHARM&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIPHARM&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,2026-08-21,901,HIGH_PRIORITY_CANDIDATE,True,True,60.5,False,None,True,False,False,True,True,True,1008.4,44.5,1070.93,1039.64,,,0.66,0.046,,0.8,0.96,0.66,False,False,False,False,LPS,2026-07-29,True,False,False,False,97,"Bar vol_ratio=0.52x, spread_ratio=0.70x, close_pos=0.58. Candidate LPS: higher low=1001.50 vs prior ST low=991.80 (+1.0%), holding above range support=972.72, low volume 0.52x avg (threshold < 0.75x), spread 0.70x ATR, close pos=0.58",1452.5,44.0,29,False,"[HIGH_PRIORITY_CANDIDATE] Score: 60.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.66<1.0), BBW Contraction) | VSA: Vol Ratio: 0.80x, Close Pos: 0.66 | Candidate Event: LPS (Bar vol_ratio=0.52x, spread_ratio=0.70x, close_pos=0.58. Candidate LPS: higher low=1001.50 vs prior ST low=991.80 (+1.0%), holding above range support=972.72, low volume 0.52x avg (threshold < 0.75x), spread 0.70x ATR, close pos=0.58) | P&F Target: ₹1452.50 (+44.0% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AABSLAMC&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AABSLAMC&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AABSLAMC&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
