symbol,yfinance_ticker,company_name,as_of_date,data_bars,candidate_category,is_research_eligible,is_mechanically_qualified,composite_score,is_disqualified,disqualifying_flags,weekly_uptrend,dma_50_above_100,rsi_in_band,atr_contracting,vcp_bbw_contracting,min_liquidity_passed,close,rsi_14,dma_50,dma_100,wma_30,wma_40,atr_contraction_ratio,bb_width_20,avg_20_turnover_cr,vsa_volume_ratio,vsa_spread_ratio,vsa_close_position,is_stopping_volume,is_no_demand,is_no_supply,is_effort_vs_result,most_recent_event_type,most_recent_event_date,possible_LPS,possible_SOS,possible_Spring,is_UTAD_warning,total_events_detected,numeric_evidence,pf_target_price,pf_upside_pct,pf_count_columns,pf_is_stale_anchor,explanation_summary,tradingview_daily_url,tradingview_weekly_url,tradingview_75m_url,chart_review_status,dataset_snapshot_path,dataset_date
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Limited,2026-08-21,901,DISQUALIFIED,True,False,45.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,False,True,54.35,34.7,59.05,60.95,,,1.01,0.204,,0.39,0.41,0.12,False,False,True,False,Spring,2026-08-18,False,False,True,False,156,"Bar vol_ratio=0.36x, spread_ratio=0.49x, close_pos=0.14. Candidate Spring: low=54.82 undercut prior support=54.90 by 0.15%, closed back above support at 54.97 (close pos=0.14, volume 0.36x avg, spread 0.49x ATR)",88.93,63.6,5,False,[DISQUALIFIED] Score: 45.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3AABFRL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AABFRL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AABFRL&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
ACMESOLAR,ACMESOLAR.NS,Acme Solar Holdings Limited,2026-08-21,442,DISQUALIFIED,True,True,30.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,True,True,False,True,401.6,67.0,369.87,335.45,,,0.91,0.12,,1.98,1.34,0.47,False,False,False,False,UTAD,2026-08-21,False,False,False,True,56,"Bar vol_ratio=1.98x, spread_ratio=1.34x, close_pos=0.47. Candidate UTAD: intrabar high=411.30 exceeded range resistance=406.50 (+1.18%), closed back below at 401.60 (close pos=0.47), elevated volume 1.98x avg (threshold >= 1.5x), spread 1.34x ATR",401.6,0.0,16,True,[DISQUALIFIED] Score: 30.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AACMESOLAR&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AACMESOLAR&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AACMESOLAR&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited,2026-08-21,901,DISQUALIFIED,True,True,30.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,True,True,False,True,413.0,56.1,398.66,373.02,,,0.89,0.095,,0.93,0.51,1.0,False,True,False,False,UTAD,2026-07-31,False,False,False,True,120,"Bar vol_ratio=3.04x, spread_ratio=1.55x, close_pos=0.49. Candidate UTAD: intrabar high=413.00 exceeded range resistance=411.40 (+0.39%), closed back below at 404.30 (close pos=0.49), elevated volume 3.04x avg (threshold >= 1.5x), spread 1.55x ATR",567.2,37.3,36,True,[DISQUALIFIED] Score: 30.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AABCAPITAL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AABCAPITAL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AABCAPITAL&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Limited,2026-08-21,901,DISQUALIFIED,True,True,22.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,False,False,True,False,True,1541.9,36.8,1605.36,1479.23,,,0.87,0.103,,1.07,0.71,0.45,False,False,False,False,UTAD,2026-07-08,False,False,False,True,105,"Bar vol_ratio=1.78x, spread_ratio=1.56x, close_pos=0.29. Candidate UTAD: intrabar high=1712.00 exceeded range resistance=1663.90 (+2.89%), closed back below at 1655.50 (close pos=0.29), elevated volume 1.78x avg (threshold >= 1.5x), spread 1.56x ATR",1805.3,17.1,9,True,[DISQUALIFIED] Score: 22.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENSOL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENSOL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENSOL&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
63MOONS,63MOONS.NS,63 moons technologies limited,2026-08-21,901,DISQUALIFIED,True,True,7.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,False,True,False,False,True,True,795.5,51.5,741.23,698.4,,,1.06,0.258,,0.27,0.78,0.77,False,False,False,False,UTAD,2026-08-03,False,False,False,True,90,"Bar vol_ratio=1.66x, spread_ratio=1.64x, close_pos=0.20. Candidate UTAD: intrabar high=957.95 exceeded range resistance=950.00 (+0.84%), closed back below at 897.05 (close pos=0.20), elevated volume 1.66x avg (threshold >= 1.5x), spread 1.64x ATR",805.7,1.3,29,True,[DISQUALIFIED] Score: 7.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3A63MOONS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3A63MOONS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3A63MOONS&interval=75,pending,data/research_datasets/20260823_31_AUDIT,2026-08-23 13:20:04 UTC
