symbol,yfinance_ticker,company_name,as_of_date,data_bars,candidate_category,is_research_eligible,is_mechanically_qualified,composite_score,is_disqualified,disqualifying_flags,weekly_uptrend,dma_50_above_100,rsi_in_band,atr_contracting,vcp_bbw_contracting,min_liquidity_passed,close,rsi_14,dma_50,dma_100,wma_30,wma_40,atr_contraction_ratio,bb_width_20,avg_20_turnover_cr,vsa_volume_ratio,vsa_spread_ratio,vsa_close_position,is_stopping_volume,is_no_demand,is_no_supply,is_effort_vs_result,most_recent_event_type,most_recent_event_date,possible_LPS,possible_SOS,possible_Spring,is_UTAD_warning,total_events_detected,numeric_evidence,pf_target_price,pf_upside_pct,pf_count_columns,pf_is_stale_anchor,explanation_summary,tradingview_daily_url,tradingview_weekly_url,tradingview_75m_url,chart_review_status,dataset_snapshot_path,dataset_date
AARTIIND,AARTIIND.NS,Aarti Industries Limited,2026-07-15,874,DISQUALIFIED,True,True,40.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,True,True,True,True,500.7,61.7,472.83,457.58,,,0.95,0.096,,4.86,1.92,0.63,False,False,False,False,UTAD,2026-07-15,False,False,False,True,126,"Bar vol_ratio=4.86x, spread_ratio=1.92x, close_pos=0.63. Candidate UTAD: intrabar high=510.90 exceeded range resistance=506.20 (+0.93%), closed back below at 500.70 (close pos=0.63), elevated volume 4.86x avg (threshold >= 1.5x), spread 1.92x ATR",965.45,92.8,32,False,[DISQUALIFIED] Score: 40.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=75,pending,data/research_datasets/20260715,2026-08-23 13:20:04 UTC
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Limited,2026-07-15,874,DISQUALIFIED,True,True,30.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,True,True,False,True,1678.0,67.7,1492.62,1303.37,,,0.95,0.18,,0.47,0.71,0.31,False,False,False,False,UTAD,2026-07-08,False,False,False,True,105,"Bar vol_ratio=1.78x, spread_ratio=1.56x, close_pos=0.29. Candidate UTAD: intrabar high=1712.00 exceeded range resistance=1663.90 (+2.89%), closed back below at 1655.50 (close pos=0.29), elevated volume 1.78x avg (threshold >= 1.5x), spread 1.56x ATR",1805.3,7.6,9,True,[DISQUALIFIED] Score: 30.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENSOL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENSOL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENSOL&interval=75,pending,data/research_datasets/20260715,2026-08-23 13:20:04 UTC
ACMESOLAR,ACMESOLAR.NS,Acme Solar Holdings Limited,2026-07-15,415,DISQUALIFIED,True,True,25.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,True,False,True,True,392.15,68.5,334.46,299.6,,,1.02,0.189,,1.02,0.68,0.87,False,False,False,False,UTAD,2026-07-14,False,False,False,True,54,"Bar vol_ratio=2.20x, spread_ratio=1.71x, close_pos=0.45. Candidate UTAD: intrabar high=398.65 exceeded range resistance=398.15 (+0.13%), closed back below at 384.60 (close pos=0.45), elevated volume 2.20x avg (threshold >= 1.5x), spread 1.71x ATR",401.6,2.4,16,False,[DISQUALIFIED] Score: 25.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AACMESOLAR&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AACMESOLAR&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AACMESOLAR&interval=75,pending,data/research_datasets/20260715,2026-08-23 13:20:04 UTC
3MINDIA,3MINDIA.NS,3M India Limited,2026-07-15,872,DISQUALIFIED,True,True,25.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,False,True,False,False,True,35417.08,65.2,32512.44,32514.41,,,1.2,0.137,,1.89,1.19,0.12,False,False,False,False,UTAD,2026-07-15,False,False,False,True,134,"Bar vol_ratio=1.89x, spread_ratio=1.19x, close_pos=0.12. Candidate UTAD: intrabar high=36353.52 exceeded range resistance=36166.23 (+0.52%), closed back below at 35417.08 (close pos=0.12), elevated volume 1.89x avg (threshold >= 1.5x), spread 1.19x ATR",62956.64,77.8,47,False,[DISQUALIFIED] Score: 25.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3A3MINDIA&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3A3MINDIA&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3A3MINDIA&interval=75,pending,data/research_datasets/20260715,2026-08-23 13:20:04 UTC
ADANIPOWER,ADANIPOWER.NS,Adani Power Limited,2026-07-15,874,DISQUALIFIED,True,True,22.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,False,False,True,True,True,218.97,45.9,225.82,198.29,,,0.85,0.103,,1.15,1.55,0.09,False,False,False,False,UTAD,2026-05-29,False,False,False,True,105,"Bar vol_ratio=1.58x, spread_ratio=1.37x, close_pos=0.10. Candidate UTAD: intrabar high=254.20 exceeded range resistance=252.65 (+0.61%), closed back below at 243.37 (close pos=0.10), elevated volume 1.58x avg (threshold >= 1.5x), spread 1.37x ATR",246.43,12.5,32,True,[DISQUALIFIED] Score: 22.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AADANIPOWER&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADANIPOWER&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADANIPOWER&interval=75,pending,data/research_datasets/20260715,2026-08-23 13:20:04 UTC
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,2026-07-15,874,DISQUALIFIED,True,True,22.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,False,True,False,True,1829.1,53.2,1800.42,1642.88,,,0.92,0.063,,0.48,0.56,0.57,False,True,False,False,UTAD,2026-07-01,False,False,False,True,100,"Bar vol_ratio=1.87x, spread_ratio=1.75x, close_pos=0.49. Candidate UTAD: intrabar high=1881.70 exceeded range resistance=1850.00 (+1.71%), closed back below at 1848.20 (close pos=0.49), elevated volume 1.87x avg (threshold >= 1.5x), spread 1.75x ATR",2736.08,49.6,46,True,[DISQUALIFIED] Score: 22.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AADANIPORTS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADANIPORTS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADANIPORTS&interval=75,pending,data/research_datasets/20260715,2026-08-23 13:20:04 UTC
ACE,ACE.NS,Action Construction Equipment Limited,2026-07-15,874,DISQUALIFIED,True,True,22.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,False,True,True,True,True,True,1004.4,57.7,935.03,899.95,,,0.94,0.064,,1.11,1.14,0.91,False,False,False,False,UTAD,2026-06-23,False,False,False,True,89,"Bar vol_ratio=1.89x, spread_ratio=1.49x, close_pos=0.11. Candidate UTAD: intrabar high=1047.00 exceeded range resistance=1017.00 (+2.95%), closed back below at 1007.85 (close pos=0.11), elevated volume 1.89x avg (threshold >= 1.5x), spread 1.49x ATR",1278.5,27.3,15,True,[DISQUALIFIED] Score: 22.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AACE&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AACE&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AACE&interval=75,pending,data/research_datasets/20260715,2026-08-23 13:20:04 UTC
AAVAS,AAVAS.NS,Aavas Financiers Limited,2026-07-15,874,DISQUALIFIED,True,True,22.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,False,True,True,True,True,True,1500.9,57.1,1413.76,1332.42,,,0.82,0.058,,0.53,1.66,0.87,False,False,False,False,UTAD,2026-06-22,False,False,False,True,104,"Bar vol_ratio=3.48x, spread_ratio=3.04x, close_pos=0.81. Candidate UTAD: intrabar high=1495.00 exceeded range resistance=1494.90 (+0.01%), closed back below at 1466.60 (close pos=0.81), elevated volume 3.48x avg (threshold >= 1.5x), spread 3.04x ATR",1665.6,11.0,6,True,[DISQUALIFIED] Score: 22.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AAAVAS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AAAVAS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AAAVAS&interval=75,pending,data/research_datasets/20260715,2026-08-23 13:20:04 UTC
5PAISA,5PAISA.NS,5Paisa Capital Limited,2026-07-15,873,DISQUALIFIED,True,True,22.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,True,False,False,True,390.85,68.2,335.58,321.81,,,1.2,0.217,,1.38,0.86,0.3,False,False,False,False,UTAD,2026-07-03,False,False,False,True,130,"Bar vol_ratio=2.09x, spread_ratio=1.20x, close_pos=0.32. Candidate UTAD: intrabar high=398.00 exceeded range resistance=394.00 (+1.02%), closed back below at 387.65 (close pos=0.32), elevated volume 2.09x avg (threshold >= 1.5x), spread 1.20x ATR",676.65,73.1,24,True,[DISQUALIFIED] Score: 22.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3A5PAISA&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3A5PAISA&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3A5PAISA&interval=75,pending,data/research_datasets/20260715,2026-08-23 13:20:04 UTC
20MICRONS,20MICRONS.NS,20 Microns Limited,2026-07-15,873,DISQUALIFIED,True,True,22.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,False,True,True,True,True,True,203.18,59.7,187.7,176.53,,,0.86,0.133,,0.27,0.55,0.3,False,False,True,False,UTAD,2026-06-23,False,False,False,True,115,"Bar vol_ratio=13.19x, spread_ratio=3.34x, close_pos=0.56. Candidate UTAD: intrabar high=218.11 exceeded range resistance=206.68 (+5.53%), closed back below at 205.15 (close pos=0.56), elevated volume 13.19x avg (threshold >= 1.5x), spread 3.34x ATR",252.68,24.4,33,True,[DISQUALIFIED] Score: 22.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3A20MICRONS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3A20MICRONS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3A20MICRONS&interval=75,pending,data/research_datasets/20260715,2026-08-23 13:20:04 UTC
