symbol,yfinance_ticker,company_name,as_of_date,data_bars,candidate_category,is_research_eligible,is_mechanically_qualified,composite_score,is_disqualified,disqualifying_flags,weekly_uptrend,dma_50_above_100,rsi_in_band,atr_contracting,vcp_bbw_contracting,min_liquidity_passed,close,rsi_14,dma_50,dma_100,wma_30,wma_40,atr_contraction_ratio,bb_width_20,avg_20_turnover_cr,vsa_volume_ratio,vsa_spread_ratio,vsa_close_position,is_stopping_volume,is_no_demand,is_no_supply,is_effort_vs_result,most_recent_event_type,most_recent_event_date,possible_LPS,possible_SOS,possible_Spring,is_UTAD_warning,total_events_detected,numeric_evidence,pf_target_price,pf_upside_pct,pf_count_columns,pf_is_stale_anchor,explanation_summary,tradingview_daily_url,tradingview_weekly_url,tradingview_75m_url,chart_review_status,dataset_snapshot_path,dataset_date
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited,2026-07-31,886,DISQUALIFIED,True,True,40.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,True,True,True,True,404.3,56.2,381.91,358.35,,,0.99,0.063,,3.04,1.55,0.49,False,False,False,False,UTAD,2026-07-31,False,False,False,True,120,"Bar vol_ratio=3.04x, spread_ratio=1.55x, close_pos=0.49. Candidate UTAD: intrabar high=413.00 exceeded range resistance=411.40 (+0.39%), closed back below at 404.30 (close pos=0.49), elevated volume 3.04x avg (threshold >= 1.5x), spread 1.55x ATR",567.2,40.3,36,False,[DISQUALIFIED] Score: 40.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AABCAPITAL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AABCAPITAL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AABCAPITAL&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
ABREL,ABREL.NS,Aditya Birla Real Estate Limited,2026-07-31,886,DISQUALIFIED,True,True,32.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,False,True,True,True,True,True,1418.1,55.0,1333.37,1319.59,,,0.93,0.076,,2.15,2.13,0.46,False,False,False,False,UTAD,2026-07-31,False,False,False,True,120,"Bar vol_ratio=2.15x, spread_ratio=2.13x, close_pos=0.46. Candidate UTAD: intrabar high=1471.20 exceeded range resistance=1467.44 (+0.26%), closed back below at 1418.10 (close pos=0.46), elevated volume 2.15x avg (threshold >= 1.5x), spread 2.13x ATR",1769.65,24.8,32,False,[DISQUALIFIED] Score: 32.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AABREL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AABREL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AABREL&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
ACC,ACC.NS,ACC Limited,2026-07-31,886,DISQUALIFIED,True,False,25.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,True,True,1357.4,49.4,1356.45,1368.86,,,1.09,0.053,,0.81,0.73,0.28,False,False,False,False,LPS,2026-05-28,True,False,False,False,121,"Bar vol_ratio=0.00x, spread_ratio=0.00x, close_pos=0.50. Candidate LPS: higher low=1418.39 vs prior ST low=1349.39 (+5.1%), holding above range support=1244.50, low volume 0.00x avg (threshold < 0.75x), spread 0.00x ATR, close pos=0.50",1970.27,45.2,10,False,[DISQUALIFIED] Score: 25.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3AACC&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AACC&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AACC&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
AARTIIND,AARTIIND.NS,Aarti Industries Limited,2026-07-31,886,DISQUALIFIED,True,True,25.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,False,False,True,True,489.1,53.4,476.4,463.64,,,1.06,0.084,,8.64,1.92,0.13,False,False,False,True,SC,2026-07-31,False,False,False,False,128,"Bar vol_ratio=8.64x, spread_ratio=1.92x, close_pos=0.13. Candidate SC: volume 8.64x 20-period avg (threshold >= 2.0x), spread 1.92x 20-period ATR (threshold >= 1.5x), down-close (Open=504.00, Close=489.10, close pos=0.13), Prior peak=507.10, bar low=485.10, decline=4.3% over prior 10 bars (threshold >= 3.0%)",1010.45,106.6,35,False,[DISQUALIFIED] Score: 25.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Limited,2026-07-31,886,DISQUALIFIED,True,True,22.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,False,True,True,True,1645.4,51.5,1578.59,1386.66,,,0.99,0.083,,0.69,0.93,0.31,False,False,False,False,UTAD,2026-07-08,False,False,False,True,105,"Bar vol_ratio=1.78x, spread_ratio=1.56x, close_pos=0.29. Candidate UTAD: intrabar high=1712.00 exceeded range resistance=1663.90 (+2.89%), closed back below at 1655.50 (close pos=0.29), elevated volume 1.78x avg (threshold >= 1.5x), spread 1.56x ATR",1805.3,9.7,9,True,[DISQUALIFIED] Score: 22.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENSOL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENSOL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENSOL&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
ACMESOLAR,ACMESOLAR.NS,Acme Solar Holdings Limited,2026-07-31,427,DISQUALIFIED,True,True,21.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,False,False,True,True,362.6,48.2,354.98,316.33,,,1.01,0.115,,0.73,0.57,0.42,False,True,False,False,UTAD,2026-07-14,False,False,False,True,54,"Bar vol_ratio=2.20x, spread_ratio=1.71x, close_pos=0.45. Candidate UTAD: intrabar high=398.65 exceeded range resistance=398.15 (+0.13%), closed back below at 384.60 (close pos=0.45), elevated volume 2.20x avg (threshold >= 1.5x), spread 1.71x ATR",401.6,10.8,16,False,[DISQUALIFIED] Score: 21.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AACMESOLAR&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AACMESOLAR&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AACMESOLAR&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
3MINDIA,3MINDIA.NS,3M India Limited,2026-07-31,884,DISQUALIFIED,True,True,17.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,False,True,False,False,True,True,34615.0,50.8,33439.22,32484.0,,,1.04,0.06,,1.56,1.6,0.09,False,False,False,False,UTAD,2026-07-15,False,False,False,True,134,"Bar vol_ratio=1.89x, spread_ratio=1.19x, close_pos=0.12. Candidate UTAD: intrabar high=36353.52 exceeded range resistance=36166.23 (+0.52%), closed back below at 35417.08 (close pos=0.12), elevated volume 1.89x avg (threshold >= 1.5x), spread 1.19x ATR",64756.64,87.1,50,False,[DISQUALIFIED] Score: 17.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3A3MINDIA&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3A3MINDIA&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3A3MINDIA&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
ACE,ACE.NS,Action Construction Equipment Limited,2026-07-31,886,DISQUALIFIED,True,True,15.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,False,True,True,False,False,True,1070.3,61.7,967.76,919.03,,,1.25,0.137,,0.4,0.56,0.8,False,True,False,False,UTAD,2026-07-21,False,False,False,True,90,"Bar vol_ratio=10.56x, spread_ratio=2.36x, close_pos=0.39. Candidate UTAD: intrabar high=1081.80 exceeded range resistance=1047.00 (+3.32%), closed back below at 1035.50 (close pos=0.39), elevated volume 10.56x avg (threshold >= 1.5x), spread 2.36x ATR",1353.5,26.5,20,True,[DISQUALIFIED] Score: 15.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AACE&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AACE&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AACE&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
5PAISA,5PAISA.NS,5Paisa Capital Limited,2026-07-31,885,DISQUALIFIED,True,True,15.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,False,False,True,True,348.6,43.4,347.43,327.7,,,1.06,0.133,,0.57,0.54,0.41,False,True,False,False,UTAD,2026-07-03,False,False,False,True,130,"Bar vol_ratio=2.09x, spread_ratio=1.20x, close_pos=0.32. Candidate UTAD: intrabar high=398.00 exceeded range resistance=394.00 (+1.02%), closed back below at 387.65 (close pos=0.32), elevated volume 2.09x avg (threshold >= 1.5x), spread 1.20x ATR",676.65,94.1,24,True,[DISQUALIFIED] Score: 15.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3A5PAISA&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3A5PAISA&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3A5PAISA&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
AAVAS,AAVAS.NS,Aavas Financiers Limited,2026-07-31,886,DISQUALIFIED,True,False,7.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,False,False,False,False,False,True,1359.8,36.6,1422.56,1352.16,,,1.05,0.165,,0.37,0.59,0.56,False,False,True,False,SC,2026-07-22,False,False,False,False,106,"Bar vol_ratio=5.38x, spread_ratio=2.89x, close_pos=0.16. Candidate SC: volume 5.38x 20-period avg (threshold >= 2.0x), spread 2.89x 20-period ATR (threshold >= 1.5x), down-close (Open=1523.90, Close=1444.00, close pos=0.16), Prior peak=1534.90, bar low=1425.00, decline=7.2% over prior 10 bars (threshold >= 3.0%)",1665.6,22.5,6,True,[DISQUALIFIED] Score: 7.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3AAAVAS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AAAVAS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AAAVAS&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
