symbol,yfinance_ticker,company_name,as_of_date,data_bars,candidate_category,is_research_eligible,is_mechanically_qualified,composite_score,is_disqualified,disqualifying_flags,weekly_uptrend,dma_50_above_100,rsi_in_band,atr_contracting,vcp_bbw_contracting,min_liquidity_passed,close,rsi_14,dma_50,dma_100,wma_30,wma_40,atr_contraction_ratio,bb_width_20,avg_20_turnover_cr,vsa_volume_ratio,vsa_spread_ratio,vsa_close_position,is_stopping_volume,is_no_demand,is_no_supply,is_effort_vs_result,most_recent_event_type,most_recent_event_date,possible_LPS,possible_SOS,possible_Spring,is_UTAD_warning,total_events_detected,numeric_evidence,pf_target_price,pf_upside_pct,pf_count_columns,pf_is_stale_anchor,explanation_summary,tradingview_daily_url,tradingview_weekly_url,tradingview_75m_url,chart_review_status,dataset_snapshot_path,dataset_date
ADOR,ADOR.NS,Ador Welding Limited,2026-07-31,886,HIGH_PRIORITY_CANDIDATE,True,True,72.5,False,None,True,True,True,False,False,True,1444.7,59.7,1253.6,1113.66,,,1.58,0.246,,0.45,0.9,0.14,False,False,False,False,LPS,2026-07-27,True,False,False,False,123,"Bar vol_ratio=0.53x, spread_ratio=0.77x, close_pos=0.82. Candidate LPS: higher low=1481.60 vs prior ST low=1439.10 (+3.0%), holding above range support=1004.75, low volume 0.53x avg (threshold < 0.75x), spread 0.77x ATR, close pos=0.82",2003.0,38.6,16,False,"[HIGH_PRIORITY_CANDIDATE] Score: 72.5/100.0 | Mech Qual: PASS (Weekly WMA Up, Daily DMA(50/100) Up (1253.6>1113.7), RSI(14) Bullish (59.7)) | VSA: Vol Ratio: 0.45x, Close Pos: 0.14 | Candidate Event: LPS (Bar vol_ratio=0.53x, spread_ratio=0.77x, close_pos=0.82. Candidate LPS: higher low=1481.60 vs prior ST low=1439.10 (+3.0%), holding above range support=1004.75, low volume 0.53x avg (threshold < 0.75x), spread 0.77x ATR, close pos=0.82) | P&F Target: ₹2003.00 (+38.6% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADOR&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADOR&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADOR&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,2026-07-31,886,HIGH_PRIORITY_CANDIDATE,True,True,72.5,False,None,True,False,False,True,False,True,1011.8,41.2,1072.47,1024.8,,,0.94,0.214,,0.75,0.54,0.48,False,True,False,False,LPS,2026-07-29,True,False,False,False,97,"Bar vol_ratio=0.52x, spread_ratio=0.70x, close_pos=0.58. Candidate LPS: higher low=1001.50 vs prior ST low=991.80 (+1.0%), holding above range support=972.72, low volume 0.52x avg (threshold < 0.75x), spread 0.70x ATR, close pos=0.58",1347.5,33.2,22,False,"[HIGH_PRIORITY_CANDIDATE] Score: 72.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.94<1.0)) | VSA: Vol Ratio: 0.75x, Close Pos: 0.48, No Demand | Candidate Event: LPS (Bar vol_ratio=0.52x, spread_ratio=0.70x, close_pos=0.58. Candidate LPS: higher low=1001.50 vs prior ST low=991.80 (+1.0%), holding above range support=972.72, low volume 0.52x avg (threshold < 0.75x), spread 0.70x ATR, close pos=0.58) | P&F Target: ₹1347.50 (+33.2% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AABSLAMC&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AABSLAMC&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AABSLAMC&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Limited,2026-07-31,886,HIGH_PRIORITY_CANDIDATE,True,True,72.5,False,None,False,True,True,True,True,True,27800.0,63.8,26268.97,26001.74,,,0.93,0.111,,0.49,0.88,0.82,False,False,False,False,SOS,2026-07-22,False,True,False,False,126,"Bar vol_ratio=1.57x, spread_ratio=1.46x, close_pos=0.95. Candidate SOS: close=28239.20 broke above range resistance=28175.68 (+0.23%), strong close position=0.95 (threshold > 0.7), volume 1.57x avg (threshold >= 1.5x), spread 1.46x ATR",40000.0,43.9,25,False,"[HIGH_PRIORITY_CANDIDATE] Score: 72.5/100.0 | Mech Qual: PASS (Daily DMA(50/100) Up (26269.0>26001.7), RSI(14) Bullish (63.8), ATR Contraction (0.93<1.0), BBW Contraction) | VSA: Vol Ratio: 0.49x, Close Pos: 0.82 | Candidate Event: SOS (Bar vol_ratio=1.57x, spread_ratio=1.46x, close_pos=0.95. Candidate SOS: close=28239.20 broke above range resistance=28175.68 (+0.23%), strong close position=0.95 (threshold > 0.7), volume 1.57x avg (threshold >= 1.5x), spread 1.46x ATR) | P&F Target: ₹40000.00 (+43.9% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
ADANIPOWER,ADANIPOWER.NS,Adani Power Limited,2026-07-31,886,HIGH_PRIORITY_CANDIDATE,True,True,62.5,False,None,True,False,False,True,True,True,211.31,42.3,224.26,207.08,,,0.91,0.08,,0.53,0.58,0.62,False,True,False,False,LPS,2026-07-31,True,False,False,False,111,"Bar vol_ratio=0.53x, spread_ratio=0.58x, close_pos=0.62. Candidate LPS: higher low=209.11 vs prior Spring low=207.11 (+1.0%), holding above range support=207.11, low volume 0.53x avg (threshold < 0.75x), spread 0.58x ATR, close pos=0.62",246.43,16.6,32,True,"[HIGH_PRIORITY_CANDIDATE] Score: 62.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.91<1.0), BBW Contraction) | VSA: Vol Ratio: 0.53x, Close Pos: 0.62, No Demand | Candidate Event: LPS (Bar vol_ratio=0.53x, spread_ratio=0.58x, close_pos=0.62. Candidate LPS: higher low=209.11 vs prior Spring low=207.11 (+1.0%), holding above range support=207.11, low volume 0.53x avg (threshold < 0.75x), spread 0.58x ATR, close pos=0.62) | P&F Target: ₹246.43 (+16.6% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADANIPOWER&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADANIPOWER&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADANIPOWER&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
360ONE,360ONE.NS,360 ONE WAM LIMITED,2026-07-31,885,QUALIFIED_CANDIDATE,True,True,57.5,False,None,False,True,False,False,True,True,1135.3,54.7,1105.8,1074.07,,,1.08,0.079,,0.77,0.97,0.1,False,False,False,False,LPS,2026-07-21,True,False,False,False,113,"Bar vol_ratio=0.49x, spread_ratio=0.69x, close_pos=0.32. Candidate LPS: higher low=1112.70 vs prior ST low=1104.00 (+0.8%), holding above range support=1031.30, low volume 0.49x avg (threshold < 0.75x), spread 0.69x ATR, close pos=0.32",2199.7,93.8,72,False,"[QUALIFIED_CANDIDATE] Score: 57.5/100.0 | Mech Qual: PASS (Daily DMA(50/100) Up (1105.8>1074.1), BBW Contraction) | VSA: Vol Ratio: 0.77x, Close Pos: 0.10 | Candidate Event: LPS (Bar vol_ratio=0.49x, spread_ratio=0.69x, close_pos=0.32. Candidate LPS: higher low=1112.70 vs prior ST low=1104.00 (+0.8%), holding above range support=1031.30, low volume 0.49x avg (threshold < 0.75x), spread 0.69x ATR, close pos=0.32) | P&F Target: ₹2199.70 (+93.8% upside)",https://www.tradingview.com/chart/?symbol=NSE%3A360ONE&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3A360ONE&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3A360ONE&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
ADANIENT,ADANIENT.NS,Adani Enterprises Limited,2026-07-31,886,QUALIFIED_CANDIDATE,True,True,50.5,False,None,True,False,False,True,True,True,3009.5,44.7,3038.24,2632.23,,,0.8,0.091,,0.6,0.91,0.11,False,False,False,False,SOS,2026-07-01,False,True,False,False,95,"Bar vol_ratio=1.69x, spread_ratio=1.69x, close_pos=0.95. Candidate SOS: close=3143.60 broke above range resistance=3105.00 (+1.24%), strong close position=0.95 (threshold > 0.7), volume 1.69x avg (threshold >= 1.5x), spread 1.69x ATR",4312.34,43.3,18,True,"[QUALIFIED_CANDIDATE] Score: 50.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.80<1.0), BBW Contraction) | VSA: Vol Ratio: 0.60x, Close Pos: 0.11 | Candidate Event: SOS (Bar vol_ratio=1.69x, spread_ratio=1.69x, close_pos=0.95. Candidate SOS: close=3143.60 broke above range resistance=3105.00 (+1.24%), strong close position=0.95 (threshold > 0.7), volume 1.69x avg (threshold >= 1.5x), spread 1.69x ATR) | P&F Target: ₹4312.34 (+43.3% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADANIENT&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENT&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENT&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs Limited,2026-07-31,886,QUALIFIED_CANDIDATE,True,True,43.0,False,None,False,True,True,False,True,True,422.75,64.5,389.43,376.19,,,1.22,0.126,,0.88,1.1,0.71,False,False,False,False,SOS,2026-07-15,False,True,False,False,134,"Bar vol_ratio=2.89x, spread_ratio=1.84x, close_pos=0.72. Candidate SOS: close=421.60 broke above range resistance=413.90 (+1.86%), strong close position=0.72 (threshold > 0.7), volume 2.89x avg (threshold >= 1.5x), spread 1.84x ATR",1340.44,217.1,57,True,"[QUALIFIED_CANDIDATE] Score: 43.0/100.0 | Mech Qual: PASS (Daily DMA(50/100) Up (389.4>376.2), RSI(14) Bullish (64.5), BBW Contraction) | VSA: Vol Ratio: 0.88x, Close Pos: 0.71 | Candidate Event: SOS (Bar vol_ratio=2.89x, spread_ratio=1.84x, close_pos=0.72. Candidate SOS: close=421.60 broke above range resistance=413.90 (+1.86%), strong close position=0.72 (threshold > 0.7), volume 2.89x avg (threshold >= 1.5x), spread 1.84x ATR) | P&F Target: ₹1340.44 (+217.1% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AAARTIDRUGS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIDRUGS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIDRUGS&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
ADFFOODS,ADFFOODS.NS,ADF Foods Limited,2026-07-31,886,QUALIFIED_CANDIDATE,True,True,40.5,False,None,True,False,False,True,False,True,270.36,37.0,295.46,258.16,,,0.97,0.184,,2.03,1.12,0.57,False,False,False,False,AR,2026-07-31,False,False,False,False,106,"Bar vol_ratio=2.03x, spread_ratio=1.12x, close_pos=0.57. Candidate AR: up bar 1 bar(s) after SC (SC date=2026-07-30 00:00:00, SC price=261.77), Open=261.42, Close=270.36, close pos=0.57, volume 2.03x avg (threshold >= 1.0x), spread 1.12x ATR",228.56,-15.5,17,True,"[QUALIFIED_CANDIDATE] Score: 40.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.97<1.0)) | VSA: Vol Ratio: 2.03x, Close Pos: 0.57 | Candidate Event: AR (Bar vol_ratio=2.03x, spread_ratio=1.12x, close_pos=0.57. Candidate AR: up bar 1 bar(s) after SC (SC date=2026-07-30 00:00:00, SC price=261.77), Open=261.42, Close=270.36, close pos=0.57, volume 2.03x avg (threshold >= 1.0x), spread 1.12x ATR) | P&F Target: ₹228.56 (+-15.5% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADFFOODS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADFFOODS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADFFOODS&interval=75,pending,data/research_datasets/20260801,2026-08-23 13:20:04 UTC
