symbol,yfinance_ticker,company_name,as_of_date,data_bars,candidate_category,is_research_eligible,is_mechanically_qualified,composite_score,is_disqualified,disqualifying_flags,weekly_uptrend,dma_50_above_100,rsi_in_band,atr_contracting,vcp_bbw_contracting,min_liquidity_passed,close,rsi_14,dma_50,dma_100,wma_30,wma_40,atr_contraction_ratio,bb_width_20,avg_20_turnover_cr,vsa_volume_ratio,vsa_spread_ratio,vsa_close_position,is_stopping_volume,is_no_demand,is_no_supply,is_effort_vs_result,most_recent_event_type,most_recent_event_date,possible_LPS,possible_SOS,possible_Spring,is_UTAD_warning,total_events_detected,numeric_evidence,pf_target_price,pf_upside_pct,pf_count_columns,pf_is_stale_anchor,explanation_summary,tradingview_daily_url,tradingview_weekly_url,tradingview_75m_url,chart_review_status,dataset_snapshot_path,dataset_date
ELPROINTL,ELPROINTL.NS,Elpro International Limited,2026-08-21,87,DISQUALIFIED,True,False,65.0,True,"No base accumulation structure detected (no SC, Spring, or LPS in dataset).",False,False,False,False,True,True,175.47,51.1,174.42,,,,1.25,0.036,,0.21,0.61,0.2,False,False,False,False,SOS,2026-08-07,False,True,False,False,2,"Bar vol_ratio=5.95x, spread_ratio=1.22x, close_pos=0.71. Candidate SOS: close=180.06 broke above range resistance=179.80 (+0.14%), strong close position=0.71 (threshold > 0.7), volume 5.95x avg (threshold >= 1.5x), spread 1.22x ATR",217.47,23.9,14,False,"[DISQUALIFIED] Score: 65.0/100.0 | DISQUALIFIED: No base accumulation structure detected (no SC, Spring, or LPS in dataset).",https://www.tradingview.com/chart/?symbol=NSE%3AELPROINTL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AELPROINTL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AELPROINTL&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
ZENITHSTL,ZENITHSTL.NS,Zenith Steel Pipes & Industries Limited,2026-08-21,900,DISQUALIFIED,True,False,50.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,True,False,5.41,44.4,5.6,5.83,,,1.0,0.079,,1.07,1.47,0.19,False,False,False,False,LPS,2026-08-11,True,False,False,False,154,"Bar vol_ratio=0.53x, spread_ratio=0.72x, close_pos=0.81. Candidate LPS: higher low=5.20 vs prior Spring low=4.66 (+11.6%), holding above range support=4.66, low volume 0.53x avg (threshold < 0.75x), spread 0.72x ATR, close pos=0.81",19.83,266.5,19,False,[DISQUALIFIED] Score: 50.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3AZENITHSTL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AZENITHSTL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AZENITHSTL&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
ZENITHEXPO,ZENITHEXPO.NS,Zenith Exports Limited,2026-08-21,899,DISQUALIFIED,True,False,50.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,False,False,205.18,47.9,205.71,206.44,,,1.5,0.306,,0.2,0.03,0.09,False,False,True,False,SOS,2026-08-10,False,True,False,False,141,"Bar vol_ratio=12.58x, spread_ratio=1.54x, close_pos=1.00. Candidate SOS: close=238.16 broke above range resistance=221.19 (+7.67%), strong close position=1.00 (threshold > 0.7), volume 12.58x avg (threshold >= 1.5x), spread 1.54x ATR",347.9,69.6,49,False,[DISQUALIFIED] Score: 50.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3AZENITHEXPO&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AZENITHEXPO&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AZENITHEXPO&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
VOLTAS,VOLTAS.NS,Voltas Limited,2026-08-21,901,DISQUALIFIED,True,False,50.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,False,True,1235.0,38.5,1306.8,1316.65,,,1.02,0.108,,0.62,0.48,0.92,False,True,False,False,ST,2026-08-21,False,False,False,False,83,"Bar vol_ratio=0.62x, spread_ratio=0.48x, close_pos=0.92. Candidate ST: retest of SC low area (SC low=1256.10, bar low=1220.00, diff=2.9%), volume 0.62x avg strictly lower than SC volume 5.41x, spread 0.48x ATR, close pos=0.92",2221.13,79.8,33,False,[DISQUALIFIED] Score: 50.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3AVOLTAS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AVOLTAS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AVOLTAS&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
VASCONEQ,VASCONEQ.NS,Vascon Engineers Limited,2026-08-21,901,DISQUALIFIED,True,False,50.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,False,True,31.84,47.3,33.21,34.55,,,1.19,0.133,,1.01,1.07,0.81,False,False,False,False,LPS,2026-08-14,True,False,False,False,109,"Bar vol_ratio=0.58x, spread_ratio=0.60x, close_pos=0.84. Candidate LPS: higher low=31.10 vs prior Spring low=29.53 (+5.3%), holding above range support=29.53, low volume 0.58x avg (threshold < 0.75x), spread 0.60x ATR, close pos=0.84",60.32,89.4,38,False,[DISQUALIFIED] Score: 50.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3AVASCONEQ&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AVASCONEQ&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AVASCONEQ&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
VALIANTLAB,VALIANTLAB.NS,Valiant Laboratories Limited,2026-08-21,712,DISQUALIFIED,True,False,50.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,False,False,95.74,89.6,67.97,70.2,,,1.31,0.697,,3.85,1.45,0.91,False,False,False,False,AR,2026-08-21,False,False,False,False,119,"Bar vol_ratio=3.85x, spread_ratio=1.45x, close_pos=0.91. Candidate AR: up bar 2 bar(s) after SC (SC date=2026-08-19 00:00:00, SC price=91.96), Open=93.90, Close=95.74, close pos=0.91, volume 3.85x avg (threshold >= 1.0x), spread 1.45x ATR",152.73,59.5,14,False,[DISQUALIFIED] Score: 50.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3AVALIANTLAB&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AVALIANTLAB&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AVALIANTLAB&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
UTTAMSUGAR,UTTAMSUGAR.NS,Uttam Sugar Mills Limited,2026-08-21,901,DISQUALIFIED,True,False,50.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,False,True,323.3,77.2,244.45,245.33,,,1.73,0.487,,2.22,1.33,0.27,False,False,False,False,SOS,2026-08-20,False,True,False,False,140,"Bar vol_ratio=6.18x, spread_ratio=3.10x, close_pos=0.82. Candidate SOS: close=336.22 broke above range resistance=306.79 (+9.59%), strong close position=0.82 (threshold > 0.7), volume 6.18x avg (threshold >= 1.5x), spread 3.10x ATR",506.8,56.8,45,False,[DISQUALIFIED] Score: 50.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3AUTTAMSUGAR&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AUTTAMSUGAR&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AUTTAMSUGAR&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
UNIECOM,UNIECOM.NS,Unicommerce Esolutions Limited,2026-08-21,506,DISQUALIFIED,True,False,50.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,False,True,87.47,51.7,87.28,89.36,,,1.21,0.101,,0.37,1.22,0.29,False,False,False,False,LPS,2026-08-21,True,False,False,False,69,"Bar vol_ratio=0.37x, spread_ratio=1.22x, close_pos=0.29. Candidate LPS: higher low=86.42 vs prior ST low=84.10 (+2.8%), holding above range support=83.10, low volume 0.37x avg (threshold < 0.75x), spread 1.22x ATR, close pos=0.29",147.47,68.6,10,False,[DISQUALIFIED] Score: 50.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3AUNIECOM&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AUNIECOM&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AUNIECOM&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
TRU,TRU.NS,TruCap Finance Limited,2026-08-21,899,DISQUALIFIED,True,False,50.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,False,False,4.17,32.8,4.99,5.5,,,1.09,0.195,,1.57,1.15,0.39,False,False,False,False,LPS,2026-08-19,True,False,False,False,151,"Bar vol_ratio=0.70x, spread_ratio=1.34x, close_pos=0.42. Candidate LPS: higher low=4.12 vs prior Spring low=4.00 (+3.0%), holding above range support=4.00, low volume 0.70x avg (threshold < 0.75x), spread 1.34x ATR, close pos=0.42",8.5,103.8,1,False,[DISQUALIFIED] Score: 50.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3ATRU&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3ATRU&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3ATRU&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
SURAKSHA,SURAKSHA.NS,Suraksha Diagnostic Limited,2026-08-21,426,DISQUALIFIED,True,False,50.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,False,True,325.8,75.0,269.06,276.22,,,1.53,0.412,,0.53,1.73,0.87,False,False,False,False,LPS,2026-08-18,True,False,False,False,67,"Bar vol_ratio=0.69x, spread_ratio=1.05x, close_pos=0.63. Candidate LPS: higher low=309.50 vs prior Spring low=254.60 (+21.6%), holding above range support=240.40, low volume 0.69x avg (threshold < 0.75x), spread 1.05x ATR, close pos=0.63",402.1,23.4,10,False,[DISQUALIFIED] Score: 50.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3ASURAKSHA&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3ASURAKSHA&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3ASURAKSHA&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
