symbol,yfinance_ticker,company_name,as_of_date,data_bars,candidate_category,is_research_eligible,is_mechanically_qualified,composite_score,is_disqualified,disqualifying_flags,weekly_uptrend,dma_50_above_100,rsi_in_band,atr_contracting,vcp_bbw_contracting,min_liquidity_passed,close,rsi_14,dma_50,dma_100,wma_30,wma_40,atr_contraction_ratio,bb_width_20,avg_20_turnover_cr,vsa_volume_ratio,vsa_spread_ratio,vsa_close_position,is_stopping_volume,is_no_demand,is_no_supply,is_effort_vs_result,most_recent_event_type,most_recent_event_date,possible_LPS,possible_SOS,possible_Spring,is_UTAD_warning,total_events_detected,numeric_evidence,pf_target_price,pf_upside_pct,pf_count_columns,pf_is_stale_anchor,explanation_summary,tradingview_daily_url,tradingview_weekly_url,tradingview_75m_url,chart_review_status,dataset_snapshot_path,dataset_date
ZEEL,ZEEL.NS,Zee Entertainment Enterprises Limited,2026-08-21,901,HIGH_PRIORITY_CANDIDATE,True,True,80.0,False,None,True,True,True,True,False,True,107.58,56.7,104.91,97.45,,,0.99,0.264,,0.63,0.52,0.36,False,False,True,False,LPS,2026-08-18,True,False,False,False,120,"Bar vol_ratio=0.71x, spread_ratio=0.64x, close_pos=0.53. Candidate LPS: higher low=103.50 vs prior Spring low=90.00 (+15.0%), holding above range support=90.00, low volume 0.71x avg (threshold < 0.75x), spread 0.64x ATR, close pos=0.53",237.32,120.6,22,False,"[HIGH_PRIORITY_CANDIDATE] Score: 80.0/100.0 | Mech Qual: PASS (Weekly WMA Up, Daily DMA(50/100) Up (104.9>97.5), RSI(14) Bullish (56.7), ATR Contraction (0.99<1.0)) | VSA: Vol Ratio: 0.63x, Close Pos: 0.36, No Supply (Dry-up) | Candidate Event: LPS (Bar vol_ratio=0.71x, spread_ratio=0.64x, close_pos=0.53. Candidate LPS: higher low=103.50 vs prior Spring low=90.00 (+15.0%), holding above range support=90.00, low volume 0.71x avg (threshold < 0.75x), spread 0.64x ATR, close pos=0.53) | P&F Target: ₹237.32 (+120.6% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AZEEL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AZEEL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AZEEL&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
JINDALSAW,JINDALSAW.NS,Jindal Saw Limited,2026-08-21,901,HIGH_PRIORITY_CANDIDATE,True,True,80.0,False,None,True,True,True,True,False,True,291.65,69.8,263.22,245.85,,,0.98,0.135,,9.29,3.18,0.75,False,False,False,False,SOS,2026-08-21,False,True,False,False,84,"Bar vol_ratio=9.29x, spread_ratio=3.18x, close_pos=0.75. Candidate SOS: close=291.65 broke above range resistance=281.00 (+3.79%), strong close position=0.75 (threshold > 0.7), volume 9.29x avg (threshold >= 1.5x), spread 3.18x ATR",419.95,44.0,53,False,"[HIGH_PRIORITY_CANDIDATE] Score: 80.0/100.0 | Mech Qual: PASS (Weekly WMA Up, Daily DMA(50/100) Up (263.2>245.8), RSI(14) Bullish (69.8), ATR Contraction (0.98<1.0)) | VSA: Vol Ratio: 9.29x, Close Pos: 0.75 | Candidate Event: SOS (Bar vol_ratio=9.29x, spread_ratio=3.18x, close_pos=0.75. Candidate SOS: close=291.65 broke above range resistance=281.00 (+3.79%), strong close position=0.75 (threshold > 0.7), volume 9.29x avg (threshold >= 1.5x), spread 3.18x ATR) | P&F Target: ₹419.95 (+44.0% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AJINDALSAW&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AJINDALSAW&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AJINDALSAW&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
DYCL,DYCL.NS,Dynamic Cables Limited,2026-08-21,901,HIGH_PRIORITY_CANDIDATE,True,True,80.0,False,None,True,True,True,True,False,True,458.8,65.2,393.46,363.02,,,0.93,0.254,,0.44,0.62,0.64,False,False,False,False,LPS,2026-08-13,True,False,False,False,107,"Bar vol_ratio=0.32x, spread_ratio=0.58x, close_pos=0.39. Candidate LPS: higher low=450.00 vs prior ST low=418.80 (+7.4%), holding above range support=300.18, low volume 0.32x avg (threshold < 0.75x), spread 0.58x ATR, close pos=0.39",590.35,28.7,45,False,"[HIGH_PRIORITY_CANDIDATE] Score: 80.0/100.0 | Mech Qual: PASS (Weekly WMA Up, Daily DMA(50/100) Up (393.5>363.0), RSI(14) Bullish (65.2), ATR Contraction (0.93<1.0)) | VSA: Vol Ratio: 0.44x, Close Pos: 0.64 | Candidate Event: LPS (Bar vol_ratio=0.32x, spread_ratio=0.58x, close_pos=0.39. Candidate LPS: higher low=450.00 vs prior ST low=418.80 (+7.4%), holding above range support=300.18, low volume 0.32x avg (threshold < 0.75x), spread 0.58x ATR, close pos=0.39) | P&F Target: ₹590.35 (+28.7% upside)",https://www.tradingview.com/chart/?symbol=NSE%3ADYCL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3ADYCL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3ADYCL&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
AARTIIND,AARTIIND.NS,Aarti Industries Limited,2026-08-21,901,HIGH_PRIORITY_CANDIDATE,True,True,80.0,False,None,True,True,True,True,False,True,527.2,61.7,491.4,477.33,,,0.98,0.164,,0.55,1.07,0.62,False,False,False,False,SOS,2026-08-13,False,True,False,False,132,"Bar vol_ratio=1.76x, spread_ratio=0.83x, close_pos=0.73. Candidate SOS: close=538.20 broke above range resistance=534.00 (+0.79%), strong close position=0.73 (threshold > 0.7), volume 1.76x avg (threshold >= 1.5x), spread 0.83x ATR",1025.95,94.6,36,False,"[HIGH_PRIORITY_CANDIDATE] Score: 80.0/100.0 | Mech Qual: PASS (Weekly WMA Up, Daily DMA(50/100) Up (491.4>477.3), RSI(14) Bullish (61.7), ATR Contraction (0.98<1.0)) | VSA: Vol Ratio: 0.55x, Close Pos: 0.62 | Candidate Event: SOS (Bar vol_ratio=1.76x, spread_ratio=0.83x, close_pos=0.73. Candidate SOS: close=538.20 broke above range resistance=534.00 (+0.79%), strong close position=0.73 (threshold > 0.7), volume 1.76x avg (threshold >= 1.5x), spread 0.83x ATR) | P&F Target: ₹1025.95 (+94.6% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIIND&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
SETL,SETL.NS,Standard Engineering Technology Limited,2026-08-21,401,HIGH_PRIORITY_CANDIDATE,True,True,76.0,False,None,True,True,True,True,False,True,297.75,59.2,264.83,201.57,,,0.9,0.202,,0.59,0.95,0.38,False,False,False,False,LPS,2026-08-20,True,False,False,False,78,"Bar vol_ratio=0.65x, spread_ratio=1.08x, close_pos=0.26. Candidate LPS: higher low=301.20 vs prior ST low=292.15 (+3.1%), holding above range support=150.05, low volume 0.65x avg (threshold < 0.75x), spread 1.08x ATR, close pos=0.26",346.95,16.5,7,False,"[HIGH_PRIORITY_CANDIDATE] Score: 76.0/100.0 | Mech Qual: PASS (Weekly WMA Up, Daily DMA(50/100) Up (264.8>201.6), RSI(14) Bullish (59.2), ATR Contraction (0.90<1.0)) | VSA: Vol Ratio: 0.59x, Close Pos: 0.38 | Candidate Event: LPS (Bar vol_ratio=0.65x, spread_ratio=1.08x, close_pos=0.26. Candidate LPS: higher low=301.20 vs prior ST low=292.15 (+3.1%), holding above range support=150.05, low volume 0.65x avg (threshold < 0.75x), spread 1.08x ATR, close pos=0.26) | P&F Target: ₹346.95 (+16.5% upside)",https://www.tradingview.com/chart/?symbol=NSE%3ASETL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3ASETL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3ASETL&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
SANDHAR,SANDHAR.NS,Sandhar Technologies Limited,2026-08-21,901,HIGH_PRIORITY_CANDIDATE,True,True,76.0,False,None,True,True,True,True,True,True,667.75,59.4,652.17,608.65,,,0.94,0.15,,0.83,1.06,0.84,False,False,False,False,LPS,2026-08-17,True,False,False,False,118,"Bar vol_ratio=0.40x, spread_ratio=0.74x, close_pos=0.35. Candidate LPS: higher low=626.30 vs prior ST low=609.85 (+2.7%), holding above range support=575.00, low volume 0.40x avg (threshold < 0.75x), spread 0.74x ATR, close pos=0.35",758.55,13.6,21,False,"[HIGH_PRIORITY_CANDIDATE] Score: 76.0/100.0 | Mech Qual: PASS (Weekly WMA Up, Daily DMA(50/100) Up (652.2>608.6), RSI(14) Bullish (59.4), ATR Contraction (0.94<1.0), BBW Contraction) | VSA: Vol Ratio: 0.83x, Close Pos: 0.84 | Candidate Event: LPS (Bar vol_ratio=0.40x, spread_ratio=0.74x, close_pos=0.35. Candidate LPS: higher low=626.30 vs prior ST low=609.85 (+2.7%), holding above range support=575.00, low volume 0.40x avg (threshold < 0.75x), spread 0.74x ATR, close pos=0.35) | P&F Target: ₹758.55 (+13.6% upside)",https://www.tradingview.com/chart/?symbol=NSE%3ASANDHAR&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3ASANDHAR&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3ASANDHAR&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
CORONA,CORONA.NS,CORONA Remedies Limited,2026-08-21,172,HIGH_PRIORITY_CANDIDATE,True,True,76.0,False,None,False,True,True,True,True,True,2142.6,58.5,2023.82,1844.84,,,0.92,0.057,,0.28,0.83,0.37,False,False,False,False,LPS,2026-08-12,True,False,False,False,22,"Bar vol_ratio=0.36x, spread_ratio=0.60x, close_pos=0.80. Candidate LPS: higher low=2099.00 vs prior ST low=2089.00 (+0.5%), holding above range support=1649.07, low volume 0.36x avg (threshold < 0.75x), spread 0.60x ATR, close pos=0.80",2435.9,13.7,10,False,"[HIGH_PRIORITY_CANDIDATE] Score: 76.0/100.0 | Mech Qual: PASS (Daily DMA(50/100) Up (2023.8>1844.8), RSI(14) Bullish (58.5), ATR Contraction (0.92<1.0), BBW Contraction) | VSA: Vol Ratio: 0.28x, Close Pos: 0.37 | Candidate Event: LPS (Bar vol_ratio=0.36x, spread_ratio=0.60x, close_pos=0.80. Candidate LPS: higher low=2099.00 vs prior ST low=2089.00 (+0.5%), holding above range support=1649.07, low volume 0.36x avg (threshold < 0.75x), spread 0.60x ATR, close pos=0.80) | P&F Target: ₹2435.90 (+13.7% upside)",https://www.tradingview.com/chart/?symbol=NSE%3ACORONA&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3ACORONA&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3ACORONA&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
STEELCAS,STEELCAS.NS,Steelcast Limited,2026-08-21,900,HIGH_PRIORITY_CANDIDATE,True,True,73.0,False,None,True,True,True,True,False,True,356.05,68.1,315.23,298.37,,,0.91,0.221,,0.33,0.62,0.12,False,False,False,False,SOS,2026-08-13,False,True,False,False,111,"Bar vol_ratio=5.06x, spread_ratio=2.35x, close_pos=0.79. Candidate SOS: close=354.15 broke above range resistance=345.04 (+2.64%), strong close position=0.79 (threshold > 0.7), volume 5.06x avg (threshold >= 1.5x), spread 2.35x ATR",378.04,6.2,27,False,"[HIGH_PRIORITY_CANDIDATE] Score: 73.0/100.0 | Mech Qual: PASS (Weekly WMA Up, Daily DMA(50/100) Up (315.2>298.4), RSI(14) Bullish (68.1), ATR Contraction (0.91<1.0)) | VSA: Vol Ratio: 0.33x, Close Pos: 0.12 | Candidate Event: SOS (Bar vol_ratio=5.06x, spread_ratio=2.35x, close_pos=0.79. Candidate SOS: close=354.15 broke above range resistance=345.04 (+2.64%), strong close position=0.79 (threshold > 0.7), volume 5.06x avg (threshold >= 1.5x), spread 2.35x ATR) | P&F Target: ₹378.04 (+6.2% upside)",https://www.tradingview.com/chart/?symbol=NSE%3ASTEELCAS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3ASTEELCAS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3ASTEELCAS&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
XPROINDIA,XPROINDIA.NS,Xpro India Limited,2026-08-21,901,HIGH_PRIORITY_CANDIDATE,True,True,72.5,False,None,True,False,False,True,False,True,1142.0,42.4,1308.83,1201.44,,,0.97,0.444,,0.55,0.7,0.78,False,False,False,False,LPS,2026-08-12,True,False,False,False,131,"Bar vol_ratio=0.47x, spread_ratio=0.84x, close_pos=0.11. Candidate LPS: higher low=1085.50 vs prior Spring low=1068.60 (+1.6%), holding above range support=995.40, low volume 0.47x avg (threshold < 0.75x), spread 0.84x ATR, close pos=0.11",1639.36,43.6,20,False,"[HIGH_PRIORITY_CANDIDATE] Score: 72.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.97<1.0)) | VSA: Vol Ratio: 0.55x, Close Pos: 0.78 | Candidate Event: LPS (Bar vol_ratio=0.47x, spread_ratio=0.84x, close_pos=0.11. Candidate LPS: higher low=1085.50 vs prior Spring low=1068.60 (+1.6%), holding above range support=995.40, low volume 0.47x avg (threshold < 0.75x), spread 0.84x ATR, close pos=0.11) | P&F Target: ₹1639.36 (+43.6% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AXPROINDIA&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AXPROINDIA&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AXPROINDIA&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
VINCOFE,VINCOFE.NS,Vintage Coffee And Beverages Limited,2026-08-21,460,HIGH_PRIORITY_CANDIDATE,True,True,72.5,False,None,False,True,True,True,False,True,161.55,62.1,154.77,147.21,,,0.94,0.141,,3.05,2.54,0.65,False,False,False,False,LPS,2026-08-20,True,False,False,False,64,"Bar vol_ratio=0.68x, spread_ratio=0.56x, close_pos=0.41. Candidate LPS: higher low=151.40 vs prior Spring low=143.40 (+5.6%), holding above range support=143.40, low volume 0.68x avg (threshold < 0.75x), spread 0.56x ATR, close pos=0.41",278.75,72.5,42,False,"[HIGH_PRIORITY_CANDIDATE] Score: 72.5/100.0 | Mech Qual: PASS (Daily DMA(50/100) Up (154.8>147.2), RSI(14) Bullish (62.1), ATR Contraction (0.94<1.0)) | VSA: Vol Ratio: 3.05x, Close Pos: 0.65 | Candidate Event: LPS (Bar vol_ratio=0.68x, spread_ratio=0.56x, close_pos=0.41. Candidate LPS: higher low=151.40 vs prior Spring low=143.40 (+5.6%), holding above range support=143.40, low volume 0.68x avg (threshold < 0.75x), spread 0.56x ATR, close pos=0.41) | P&F Target: ₹278.75 (+72.5% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AVINCOFE&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AVINCOFE&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AVINCOFE&interval=75,pending,data/research_datasets/20260824,2026-08-24 10:05:13 UTC
