symbol,yfinance_ticker,company_name,as_of_date,data_bars,candidate_category,is_research_eligible,is_mechanically_qualified,composite_score,is_disqualified,disqualifying_flags,weekly_uptrend,dma_50_above_100,rsi_in_band,atr_contracting,vcp_bbw_contracting,min_liquidity_passed,close,rsi_14,dma_50,dma_100,wma_30,wma_40,atr_contraction_ratio,bb_width_20,avg_20_turnover_cr,vsa_volume_ratio,vsa_spread_ratio,vsa_close_position,is_stopping_volume,is_no_demand,is_no_supply,is_effort_vs_result,most_recent_event_type,most_recent_event_date,possible_LPS,possible_SOS,possible_Spring,is_UTAD_warning,total_events_detected,numeric_evidence,pf_target_price,pf_upside_pct,pf_count_columns,pf_is_stale_anchor,explanation_summary,tradingview_daily_url,tradingview_weekly_url,tradingview_75m_url,chart_review_status,dataset_snapshot_path,dataset_date
AARTIPHARM,AARTIPHARM.NS,Aarti Pharmalabs Limited,2026-08-12,875,DISQUALIFIED,True,False,43.0,True,Failed all mechanical trend & momentum filters.,False,False,False,False,False,True,888.7,80.8,689.93,690.18,,,1.4,0.375,,2.97,1.7,0.24,False,False,False,True,SOS,2026-08-10,False,True,False,False,88,"Bar vol_ratio=10.74x, spread_ratio=2.20x, close_pos=1.00. Candidate SOS: close=823.00 broke above range resistance=743.60 (+10.68%), strong close position=1.00 (threshold > 0.7), volume 10.74x avg (threshold >= 1.5x), spread 2.20x ATR",922.65,3.8,47,False,[DISQUALIFIED] Score: 43.0/100.0 | DISQUALIFIED: Failed all mechanical trend & momentum filters.,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIPHARM&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIPHARM&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIPHARM&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs Limited,2026-08-12,894,QUALIFIED_CANDIDATE,True,True,43.0,False,None,False,True,True,False,True,True,431.5,62.4,394.65,382.11,,,1.05,0.082,,1.52,1.79,0.46,False,False,False,False,SOS,2026-07-15,False,True,False,False,134,"Bar vol_ratio=2.89x, spread_ratio=1.84x, close_pos=0.72. Candidate SOS: close=421.60 broke above range resistance=413.90 (+1.86%), strong close position=0.72 (threshold > 0.7), volume 2.89x avg (threshold >= 1.5x), spread 1.84x ATR",1340.44,210.6,57,True,"[QUALIFIED_CANDIDATE] Score: 43.0/100.0 | Mech Qual: PASS (Daily DMA(50/100) Up (394.6>382.1), RSI(14) Bullish (62.4), BBW Contraction) | VSA: Vol Ratio: 1.52x, Close Pos: 0.46 | Candidate Event: SOS (Bar vol_ratio=2.89x, spread_ratio=1.84x, close_pos=0.72. Candidate SOS: close=421.60 broke above range resistance=413.90 (+1.86%), strong close position=0.72 (threshold > 0.7), volume 2.89x avg (threshold >= 1.5x), spread 1.84x ATR) | P&F Target: ₹1340.44 (+210.6% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AAARTIDRUGS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIDRUGS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AAARTIDRUGS&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Limited,2026-08-12,285,WATCHLIST,True,False,42.5,False,None,False,False,False,True,True,True,90.29,35.2,95.81,98.54,,,0.85,0.056,,0.81,1.21,0.11,False,False,False,False,Spring,2026-08-11,False,False,True,False,52,"Bar vol_ratio=0.68x, spread_ratio=0.95x, close_pos=0.24. Candidate Spring: low=91.02 undercut prior support=91.07 by 0.05%, closed back above support at 91.48 (close pos=0.24, volume 0.68x avg, spread 0.95x ATR)",161.69,79.1,8,True,"[WATCHLIST] Score: 42.5/100.0 | Mech Qual: FAIL (ATR Contraction (0.85<1.0), BBW Contraction) | VSA: Vol Ratio: 0.81x, Close Pos: 0.11 | Candidate Event: Spring (Bar vol_ratio=0.68x, spread_ratio=0.95x, close_pos=0.24. Candidate Spring: low=91.02 undercut prior support=91.07 by 0.05%, closed back above support at 91.48 (close pos=0.24, volume 0.68x avg, spread 0.95x ATR)) | P&F Target: ₹161.69 (+79.1% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AABLBL&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AABLBL&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AABLBL&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ADANIENT,ADANIENT.NS,Adani Enterprises Limited,2026-08-12,894,WATCHLIST,True,True,37.5,False,None,True,False,False,True,True,True,2985.7,42.1,3052.44,2716.04,,,0.79,0.084,,1.1,1.25,0.55,False,False,False,False,SOS,2026-07-01,False,True,False,False,95,"Bar vol_ratio=1.69x, spread_ratio=1.69x, close_pos=0.95. Candidate SOS: close=3143.60 broke above range resistance=3105.00 (+1.24%), strong close position=0.95 (threshold > 0.7), volume 1.69x avg (threshold >= 1.5x), spread 1.69x ATR",4312.34,44.4,18,True,"[WATCHLIST] Score: 37.5/100.0 | Mech Qual: PASS (Weekly WMA Up, ATR Contraction (0.79<1.0), BBW Contraction) | VSA: Vol Ratio: 1.10x, Close Pos: 0.55 | Candidate Event: SOS (Bar vol_ratio=1.69x, spread_ratio=1.69x, close_pos=0.95. Candidate SOS: close=3143.60 broke above range resistance=3105.00 (+1.24%), strong close position=0.95 (threshold > 0.7), volume 1.69x avg (threshold >= 1.5x), spread 1.69x ATR) | P&F Target: ₹4312.34 (+44.4% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AADANIENT&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENT&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AADANIENT&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
ABB,ABB.NS,ABB India Limited,2026-08-12,894,WATCHLIST,True,True,37.5,False,None,True,True,True,False,True,True,7710.0,66.6,7125.99,6911.33,,,1.07,0.092,,0.48,0.69,0.8,False,False,False,False,SOS,2026-04-10,False,True,False,False,131,"Bar vol_ratio=1.90x, spread_ratio=1.39x, close_pos=0.84. Candidate SOS: close=6752.07 broke above range resistance=6537.98 (+3.27%), strong close position=0.84 (threshold > 0.7), volume 1.90x avg (threshold >= 1.5x), spread 1.39x ATR",7122.36,-7.6,29,True,"[WATCHLIST] Score: 37.5/100.0 | Mech Qual: PASS (Weekly WMA Up, Daily DMA(50/100) Up (7126.0>6911.3), RSI(14) Bullish (66.6), BBW Contraction) | VSA: Vol Ratio: 0.48x, Close Pos: 0.80 | Candidate Event: SOS (Bar vol_ratio=1.90x, spread_ratio=1.39x, close_pos=0.84. Candidate SOS: close=6752.07 broke above range resistance=6537.98 (+3.27%), strong close position=0.84 (threshold > 0.7), volume 1.90x avg (threshold >= 1.5x), spread 1.39x ATR) | P&F Target: ₹7122.36 (+-7.6% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AABB&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AABB&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AABB&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
AAVAS,AAVAS.NS,Aavas Financiers Limited,2026-08-12,894,WATCHLIST,True,False,33.0,False,None,False,False,False,True,False,True,1416.2,50.0,1430.19,1371.48,,,0.93,0.139,,0.84,0.97,0.62,False,False,False,False,ST,2026-08-04,False,False,False,False,107,"Bar vol_ratio=0.45x, spread_ratio=1.37x, close_pos=0.10. Candidate ST: retest of SC low area (SC low=1425.00, bar low=1386.00, diff=2.7%), volume 0.45x avg strictly lower than SC volume 5.38x, spread 1.37x ATR, close pos=0.10",1665.6,17.6,6,True,"[WATCHLIST] Score: 33.0/100.0 | Mech Qual: FAIL (ATR Contraction (0.93<1.0)) | VSA: Vol Ratio: 0.84x, Close Pos: 0.62 | Candidate Event: ST (Bar vol_ratio=0.45x, spread_ratio=1.37x, close_pos=0.10. Candidate ST: retest of SC low area (SC low=1425.00, bar low=1386.00, diff=2.7%), volume 0.45x avg strictly lower than SC volume 5.38x, spread 1.37x ATR, close pos=0.10) | P&F Target: ₹1665.60 (+17.6% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AAAVAS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AAAVAS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AAAVAS&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
20MICRONS,20MICRONS.NS,20 Microns Limited,2026-08-12,893,WATCHLIST,True,False,33.0,False,None,False,False,False,True,False,True,184.13,32.8,195.39,182.77,,,0.83,0.163,,0.57,0.69,0.22,False,False,False,False,ST,2026-08-04,False,False,False,False,117,"Bar vol_ratio=0.42x, spread_ratio=0.45x, close_pos=0.55. Candidate ST: retest of SC low area (SC low=191.10, bar low=194.61, diff=1.8%), volume 0.42x avg strictly lower than SC volume 3.59x, spread 0.45x ATR, close pos=0.55",252.68,37.2,33,True,"[WATCHLIST] Score: 33.0/100.0 | Mech Qual: FAIL (ATR Contraction (0.83<1.0)) | VSA: Vol Ratio: 0.57x, Close Pos: 0.22 | Candidate Event: ST (Bar vol_ratio=0.42x, spread_ratio=0.45x, close_pos=0.55. Candidate ST: retest of SC low area (SC low=191.10, bar low=194.61, diff=1.8%), volume 0.42x avg strictly lower than SC volume 3.59x, spread 0.45x ATR, close pos=0.55) | P&F Target: ₹252.68 (+37.2% upside)",https://www.tradingview.com/chart/?symbol=NSE%3A20MICRONS&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3A20MICRONS&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3A20MICRONS&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
3MINDIA,3MINDIA.NS,3M India Limited,2026-08-12,892,DISQUALIFIED,True,True,32.5,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,False,True,True,True,True,True,35935.0,59.1,33992.08,32722.04,,,1.0,0.05,,0.77,0.76,0.28,False,False,False,False,UTAD,2026-08-03,False,False,False,True,135,"Bar vol_ratio=1.53x, spread_ratio=1.70x, close_pos=0.57. Candidate UTAD: intrabar high=36660.00 exceeded range resistance=36353.52 (+0.84%), closed back below at 35955.00 (close pos=0.57), elevated volume 1.53x avg (threshold >= 1.5x), spread 1.70x ATR",65356.64,81.9,51,False,[DISQUALIFIED] Score: 32.5/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3A3MINDIA&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3A3MINDIA&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3A3MINDIA&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Limited,2026-08-12,560,WATCHLIST,True,False,30.0,False,None,False,False,False,True,True,True,502.0,47.9,504.77,491.05,,,0.88,0.061,,0.85,0.76,0.6,False,False,False,False,SOS,2026-07-03,False,True,False,False,67,"Bar vol_ratio=2.06x, spread_ratio=1.46x, close_pos=0.87. Candidate SOS: close=555.60 broke above range resistance=542.00 (+2.51%), strong close position=0.87 (threshold > 0.7), volume 2.06x avg (threshold >= 1.5x), spread 1.46x ATR",1008.3,100.9,39,True,"[WATCHLIST] Score: 30.0/100.0 | Mech Qual: FAIL (ATR Contraction (0.88<1.0), BBW Contraction) | VSA: Vol Ratio: 0.85x, Close Pos: 0.60 | Candidate Event: SOS (Bar vol_ratio=2.06x, spread_ratio=1.46x, close_pos=0.87. Candidate SOS: close=555.60 broke above range resistance=542.00 (+2.51%), strong close position=0.87 (threshold > 0.7), volume 2.06x avg (threshold >= 1.5x), spread 1.46x ATR) | P&F Target: ₹1008.30 (+100.9% upside)",https://www.tradingview.com/chart/?symbol=NSE%3AAADHARHFC&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3AAADHARHFC&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3AAADHARHFC&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
5PAISA,5PAISA.NS,5Paisa Capital Limited,2026-08-12,893,DISQUALIFIED,True,True,30.0,True,Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,True,True,True,True,False,True,387.05,61.9,353.94,333.31,,,0.95,0.137,,1.42,1.14,0.68,False,False,False,False,UTAD,2026-07-03,False,False,False,True,130,"Bar vol_ratio=2.09x, spread_ratio=1.20x, close_pos=0.32. Candidate UTAD: intrabar high=398.00 exceeded range resistance=394.00 (+1.02%), closed back below at 387.65 (close pos=0.32), elevated volume 2.09x avg (threshold >= 1.5x), spread 1.20x ATR",676.65,74.8,24,True,[DISQUALIFIED] Score: 30.0/100.0 | DISQUALIFIED: Most recent event is UTAD (Upthrust After Distribution / potential distribution phase).,https://www.tradingview.com/chart/?symbol=NSE%3A5PAISA&interval=D,https://www.tradingview.com/chart/?symbol=NSE%3A5PAISA&interval=W,https://www.tradingview.com/chart/?symbol=NSE%3A5PAISA&interval=75,pending,data/research_datasets/20260812,2026-08-23 13:20:04 UTC
